Code Sex BirthYear DeathYear AgeAtDeath FemaleLBS FemaleLRS ShotOrNot Group Status DeathType MaleLBS animal LBS GGImm Imm Mother
MOO96 Female 1996 2006 9 4 3 DeadNotShot 1 D N NA MOO96 4 0 loc MOY82
MOP72 Male 1972 1972 0 NA NA DeadNotShot 1 D Q 0 MOP72 0 0 loc MOM68
MOP74 Male 1974 1975 0 NA NA DeadNotShot 1 D N 0 MOP74 0 0 loc MOM68
MOP76 Female 1976 1977 0 0 0 DeadNotShot 1 D N NA MOP76 0 0 loc MOM68
MOP79 Male 1979 1979 0 NA NA DeadNotShot 1 D E 0 MOP79 0 0 loc MOM68
MOP80 Male 1980 1980 0 NA NA DeadNotShot 1 D N 0 MOP80 0 0 loc MOM68
MOPRC Female NA NA NA 2 2 DeadNotShot 2 U NA NA MOPRC 2 1 loc NA
MOPRX Female 1994 NA NA 2 2 DeadNotShot 2 U NA NA MOPRX 2 1 Imm NA
MOR74 Female 1974 NA NA 1 0 DeadNotShot 2 D NA NA MOR74 1 0.5 loc MORFH
MORCA Male 1995 NA NA NA NA DeadNotShot 2 D NA 0 MORCA 0 1 Imm NA
MORFH Female NA NA NA 1 1 DeadNotShot 2 D NA NA MORFH 1 1 Imm NA
MORRI Male 2000 2006 5 NA NA DeadNotShot 1 D Q 0 MORRI 0 1 Imm NA
MOS78 Female 1978 1993 14 6 5 DeadNotShot 1 D N NA MOS78 6 0.5 loc CRT74
MOS80 Male 1980 1988 8 NA NA Shot 3 D S 0 MOS80 0 0.5 loc CRT74
MOS82 Male 1982 1983 0 NA NA DeadNotShot 1 D N 0 MOS82 0 0.5 loc CRT74
MOS83 Female 1983 1993 9 4 1 DeadNotShot 1 D N NA MOS83 4 0 loc CRT74
MOS85 Female 1985 1986 0 0 0 DeadNotShot 1 D N NA MOS85 0 0 loc CRT74
MOU00 Male 2000 2005 5 NA NA Shot 3 D S 0 MOU00 0 0.65625 loc DIC94
MOU01 Male 2001 2002 0 NA NA DeadNotShot 1 D N 0 MOU01 0 0.15625 loc DIC94
MOU02 Male 2002 2010 7 NA NA DeadNotShot 1 D Q 15 MOU02 15 0.25 loc DIC94
MOU03 Female 2003 NA NA 7 2 Living 3 L NA NA MOU03 7 0.25 loc DIC94
MOU05 Male 2005 2014 8 NA NA DeadNotShot 1 D NA 11 MOU05 11 0.28125 loc DIC94
MOU06 Male 2006 2008 2 NA NA DeadNotShot 1 D N 0 MOU06 0 0.25 loc DIC94
MOU07 Male 2007 NA NA NA NA DeadNotShot 2 U NA 0 MOU07 0 0.46875 loc DIC94
MOU08 Male 2008 2011 3 NA NA Shot 3 D S 0 MOU08 0 0.34375 loc DIC94
MOU09 Male 2009 2016 7 NA NA Shot 3 D S 2 MOU09 2 0.3125 loc DIC94
MOU99 Male 1999 2002 3 NA NA Shot 3 D S 0 MOU99 0 0.21875 loc DIC94
MOW71 Female 1971 1986 14 8 7 DeadNotShot 1 D N NA MOW71 8 0 loc MOWSP
MOWSP Female 1964 NA NA 4 4 DeadNotShot 2 D NA NA MOWSP 4 0 base NA
MOY73 Female 1973 1986 12 5 2 DeadNotShot 1 D N NA MOY73 5 0 loc UPR68
MOY74 Female 1974 1986 11 8 2 DeadNotShot 1 D N NA MOY74 8 0.5 loc UPR68
MOY75 Male 1975 1976 0 NA NA DeadNotShot 1 D N 0 MOY75 0 0.25 loc UPR68
MOY76 Female 1976 1986 9 5 1 DeadNotShot 1 D N NA MOY76 5 0.25 loc UPR68
MOY77 Female 1977 1980 3 0 0 DeadNotShot 1 D Q NA MOY77 0 0 loc UPR68
MOY78 Female 1978 1980 1 0 0 DeadNotShot 1 D N NA MOY78 0 0 loc UPR68
MOY79 Male 1979 1981 1 NA NA DeadNotShot 1 D N 0 MOY79 0 0 loc UPR68
MOY81 Female 1981 1982 0 0 0 DeadNotShot 1 D N NA MOY81 0 0 loc UPR68
MOY82 Female 1982 1997 14 8 3 DeadNotShot 1 D N NA MOY82 8 0 loc UPR68
MOZ02 Male 2002 NA NA NA NA Living 3 L NA 9 MOZ02 9 0.640625 loc BIE97
MOZ03 Male 2003 NA NA NA NA Living 3 L NA 3 MOZ03 3 0.578125 loc BIE97
MOZ05 Male 2005 2012 7 NA NA Shot 3 D S 0 MOZ05 0 0.359375 loc BIE97
MOZ07 Female 2007 2008 0 0 0 DeadNotShot 1 D N NA MOZ07 0 0.453125 loc BIE97
MOZ09 Male 2009 2010 0 NA NA DeadNotShot 1 D N 0 MOZ09 0 0.265625 loc BIE97
MRG03 Female 2003 2015 11 4 2 DeadNotShot 1 D N NA MRG03 4 0.65625 loc THS98
MRG06 Female 2006 2007 0 0 0 DeadNotShot 1 D N NA MRG06 0 0.625 loc THS98
MRN01 Male 2001 2002 0 NA NA DeadNotShot 1 D N 0 MRN01 0 0.4140625 loc ALB94
MRN98 Female 1998 2000 1 0 0 DeadNotShot 1 D N NA MRN98 0 0.6015625 loc ALB94
MRN99 Male 1999 2000 0 NA NA DeadNotShot 1 D N 0 MRN99 0 0.2265625 loc ALB94
MRY02 Male 2002 2014 11 NA NA DeadNotShot 1 D NA 4 MRY02 4 0.5625 loc MAR93
MRY04 Female 2004 2005 0 0 0 DeadNotShot 1 D N NA MRY04 0 0.5625 loc MAR93
MRY05 Male 2005 2006 0 NA NA DeadNotShot 1 D N 0 MRY05 0 0.5625 loc MAR93
MRY06 Male 2006 2007 0 NA NA DeadNotShot 1 D N 0 MRY06 0 0.6875 loc MAR93
MRY97 Female 1997 1999 1 0 0 DeadNotShot 1 D N NA MRY97 0 0.375 loc MAR93
MRY98 Female 1998 1999 0 0 0 DeadNotShot 1 D N NA MRY98 0 0.625 loc MAR93
MRY99 Male 1999 2000 0 NA NA DeadNotShot 1 D N 0 MRY99 0 0.75 loc MAR93
MST99 Male 1999 1999 0 NA NA DeadNotShot 1 D Q 0 MST99 0 0.4375 loc IVY95
MSTRL Male 1976 1986 9 NA NA DeadNotShot 1 D N 0 MSTRL 0 1 Imm NA
MTT04 Male 2004 2005 0 NA NA DeadNotShot 1 D N 0 MTT04 0 0.75 loc TNG99
MTT06 Male 2006 2012 6 NA NA Shot 3 D S 0 MTT06 0 0.5 loc TNG99
MTT08 Female 2008 NA NA 5 3 Living 3 L NA NA MTT08 5 0.5625 loc TNG99
MTT10 Female 2010 NA NA 2 0 Living 3 L NA NA MTT10 2 0.5625 loc TNG99
MTT14 Male 2014 2015 0 NA NA DeadNotShot 1 D N 0 MTT14 0 0.734375 loc TNG99
MUD00 Female 2000 NA NA 0 0 DeadNotShot 2 D NA NA MUD00 0 0.375 loc BRE91
MUD95 Male 1995 NA NA NA NA DeadNotShot 2 D NA 0 MUD95 0 0.375 loc BRE91
MUD96 Male 1996 NA NA NA NA DeadNotShot 2 D NA 0 MUD96 0 0.375 loc BRE91
MUD98 Male 1998 NA NA NA NA DeadNotShot 2 D NA 0 MUD98 0 0.375 loc BRE91
MUD99 Male 1999 NA NA NA NA DeadNotShot 2 D NA 0 MUD99 0 0.375 loc BRE91
MUF99 Female 1999 1999 0 0 0 DeadNotShot 1 D Q NA MUF99 0 0.375 loc DIC96
MUL89 Male 1989 NA NA NA NA DeadNotShot 2 D NA 0 MUL89 0 0 loc LOG84
MUR84 Male 1984 NA NA NA NA DeadNotShot 2 D NA 1 MUR84 1 0.5 loc COL79
MUR85 Female 1985 1999 13 7 2 DeadNotShot 1 D N NA MUR85 7 0.25 loc COL79
MUR87 Male 1987 1989 1 NA NA DeadNotShot 1 D N 0 MUR87 0 0.75 loc COL79
MUR88 Male 1988 1989 0 NA NA DeadNotShot 1 D N 0 MUR88 0 0.25 loc COL79
MUS77 Female 1977 1993 15 6 5 DeadNotShot 1 D N NA MUS77 6 0.5 loc RED74
MUS79 Male 1979 1989 9 NA NA DeadNotShot 1 D N 1 MUS79 1 0.25 loc RED74
MUS81 Female 1981 2000 19 11 7 Shot 3 D S NA MUS81 11 0.5 loc RED74
MUS83 Male 1983 1988 5 NA NA Shot 3 D S 0 MUS83 0 0.25 loc RED74
MUS84 Female 1984 2000 16 6 3 Shot 3 D S NA MUS84 6 0.5 loc RED74
MUS85 Female 1985 2002 16 8 6 DeadNotShot 1 D NA NA MUS85 8 0 loc RED74
MUS87 Male 1987 2001 14 NA NA DeadNotShot 1 D N 0 MUS87 0 0.5 loc RED74
MUS89 Male 1989 2002 12 NA NA DeadNotShot 1 D N 0 MUS89 0 0.5 loc RED74
MUS92 Female 1992 NA NA 0 0 DeadNotShot 2 D NA NA MUS92 0 0 loc RED74
MYF11 Male 2011 2012 0 NA NA DeadNotShot 1 D N 0 MYF11 0 0.46875 loc BUT06
MYR72 Male 1972 1981 8 NA NA DeadNotShot 1 D N 1 MYR72 1 0 loc MYRTL
MYR74 Female 1974 1989 14 7 2 DeadNotShot 1 D N NA MYR74 7 0 loc MYRTL
MYR76 Male 1976 1978 1 NA NA DeadNotShot 1 D N 0 MYR76 0 0 loc MYRTL
MYRTL Female 1967 1977 9 4 2 DeadNotShot 1 D N NA MYRTL 4 0 base NA
MYT76 Male 1976 1977 0 NA NA DeadNotShot 1 D N 0 MYT76 0 0 loc COC72
MYT78 Male 1978 NA NA NA NA DeadNotShot 2 D NA 0 MYT78 0 0 loc COC72
MYT80 Male 1980 NA NA NA NA DeadNotShot 2 D NA 0 MYT80 0 0 loc COC72
MYT82 Male 1982 NA NA NA NA DeadNotShot 2 D NA 0 MYT82 0 0 loc COC72
MYT84 Male 1984 NA NA NA NA DeadNotShot 2 D NA 0 MYT84 0 0 loc COC72
NAI93 Female 1993 NA NA 0 0 DeadNotShot 2 D NA NA NAI93 0 0.0625 loc NAK89
NAI94 Male 1994 NA NA NA NA DeadNotShot 2 D NA 0 NAI94 0 0.0625 loc NAK89
NAI95 Male 1995 NA NA NA NA DeadNotShot 2 D NA 0 NAI95 0 0.0625 loc NAK89
NAI96 Female 1996 2000 3 1 0 DeadNotShot 1 D Q NA NAI96 1 0.0625 loc NAK89
NAI97 Male 1997 NA NA NA NA DeadNotShot 2 D NA 0 NAI97 0 0.0625 loc NAK89
NAI98 Female 1998 NA NA 0 0 DeadNotShot 2 D NA NA NAI98 0 0.0625 loc NAK89
NAK89 Female 1989 2000 10 6 1 DeadNotShot 1 D Q NA NAK89 6 0.125 loc FLA85
NAK90 Female 1990 2000 10 5 3 Shot 3 D S NA NAK90 5 0.25 loc FLA85
NAK92 Male 1992 1992 0 NA NA Shot 3 D S 0 NAK92 0 0.375 loc FLA85
NAMEL Male 1968 NA NA NA NA DeadNotShot 2 D NA 0 NAMEL 0 0 base NA
NAN06 Male 2006 2006 0 NA NA DeadNotShot 3 F B 0 NAN06 0 0.546875 loc SQU01
NATHN Male 2003 2010 6 NA NA DeadNotShot 1 D Q 0 NATHN 0 1 Imm NA
NAV08 Female 2008 2014 5 2 0 Shot 3 D S NA NAV08 2 0.4140625 loc SEQ05
NAV09 Male 2009 2012 3 NA NA Shot 3 D S 0 NAV09 0 0.3828125 loc SEQ05
NAV10 Male 2010 NA NA NA NA Living 3 L NA 0 NAV10 0 0.6953125 loc SEQ05
NAV11 Male 2011 NA NA NA NA Living 3 L NA 0 NAV11 0 0.671875 loc SEQ05
NAV12 Female 2012 NA NA 2 0 Living 3 L NA NA NAV12 2 0.4140625 loc SEQ05
NAV13 Female 2013 2013 0 0 0 DeadNotShot 1 D Q NA NAV13 0 0.6015625 loc SEQ05
NAV14 Female 2014 NA NA 0 0 Living 3 L NA NA NAV14 0 0.3984375 loc SEQ05
NAV15 Female 2015 NA NA 0 0 Living 3 L NA NA NAV15 0 0.2578125 loc SEQ05
NAV16 Male 2016 NA NA NA NA Living 3 L NA 0 NAV16 0 0.7578125 loc SEQ05
NEB01 Female 2001 2002 0 0 0 DeadNotShot 1 D N NA NEB01 0 0.53125 loc STA97
NEB03 Male 2003 2005 1 NA NA DeadNotShot 1 D N 0 NEB03 0 0.75 loc STA97
NEB04 Male 2004 2004 0 NA NA DeadNotShot 1 D A 0 NEB04 0 0.5 loc STA97
NEB06 Male 2006 2008 1 NA NA DeadNotShot 1 D N 0 NEB06 0 0.625 loc STA97
NEB07 Male 2007 2007 0 NA NA DeadNotShot 1 D B 0 NEB07 0 0.6875 loc STA97
NEB09 Female 2009 2009 0 0 0 DeadNotShot 3 F B NA NEB09 0 0.6953125 loc STA97
NEC02 Male 2002 2011 8 NA NA DeadNotShot 1 D NA 0 NEC02 0 0.53125 loc SPL98
NEC04 Male 2004 NA NA NA NA Living 3 L NA 0 NEC04 0 0.53125 loc SPL98
NEC05 Female 2005 2014 8 3 1 Shot 3 D S NA NEC05 3 0.59375 loc SPL98
NEC06 Male 2006 2016 10 NA NA Shot 3 D S 4 NEC06 4 0.59375 loc SPL98
NEC08 Female 2008 NA NA 3 2 Living 3 L NA NA NEC08 3 0.8125 loc SPL98
NEC10 Female 2010 2012 2 0 0 Shot 3 D S NA NEC10 0 0.875 loc SPL98
NEC12 Female 2012 NA NA 1 0 Living 3 L NA NA NEC12 1 0.375 loc SPL98
NECKS Male 1980 1987 7 NA NA DeadNotShot 1 D Q 0 NECKS 0 1 Imm NA
NEL81 Female 1981 NA NA 0 0 DeadNotShot 2 D NA NA NEL81 0 0 loc JOS77
NELSO Male 1964 NA NA NA NA DeadNotShot 2 D NA 0 NELSO 0 0 base NA
NEP96 Female 1996 1999 3 0 0 Shot 3 D S NA NEP96 0 0.59375 loc IND92
NEP97 Male 1997 1997 0 NA NA DeadNotShot 1 D E 0 NEP97 0 0.90625 loc IND92
NEP98 Male 1998 2001 3 NA NA Shot 3 D S 0 NEP98 0 0.90625 loc IND92
NET01 Female 2001 2002 0 0 0 DeadNotShot 1 D N NA NET01 0 0.34375 loc DOC94
NET02 Female 2002 NA NA 10 2 Living 3 L NA NA NET02 10 0.5625 loc DOC94
NET03 Male 2003 2008 5 NA NA Shot 3 D S 0 NET03 0 0.4375 loc DOC94
NET04 Male 2004 2005 0 NA NA DeadNotShot 1 D N 0 NET04 0 0.5 loc DOC94
NET06 Female 2006 2006 0 0 0 DeadNotShot 1 D B NA NET06 0 0.53125 loc DOC94
NET07 Male 2007 2009 2 NA NA DeadNotShot 1 D N 0 NET07 0 0.53125 loc DOC94
NET08 Male 2008 2008 0 NA NA DeadNotShot 1 D N 0 NET08 0 0.5 loc DOC94
NET98 Female 1998 1999 0 0 0 DeadNotShot 1 D N NA NET98 0 0.375 loc DOC94
NET99 Female 1999 2010 10 5 1 DeadNotShot 1 D N NA NET99 5 0.28125 loc DOC94
NEWTS Male 1971 NA NA NA NA DeadNotShot 2 D NA 0 NEWTS 0 1 Imm NA
NIALL Male 2009 NA NA NA NA DeadNotShot 2 U NA 0 NIALL 0 1 Imm NA
NIBSI Male 1982 1993 10 NA NA DeadNotShot 1 D N 0 NIBSI 0 0.75 loc NA
NIC83 Male 1983 NA NA NA NA DeadNotShot 2 D NA 0 NIC83 0 0.5625 loc COT79
NIC84 Female 1984 NA NA 0 0 DeadNotShot 2 D NA NA NIC84 0 0.0625 loc COT79
NICKO Male 2008 NA NA NA NA Living 3 L NA 0 NICKO 0 1 Imm NA
NICKS Male 1965 1976 11 NA NA Shot 3 D S 1 NICKS 1 0 base NA
NICKY Male 2003 2009 5 NA NA DeadNotShot 1 D Q 0 NICKY 0 1 Imm NA
NIGEL Male 1997 NA NA NA NA DeadNotShot 2 D NA 21 NIGEL 21 0.8125 loc NA
NIMRO Male 1969 NA NA NA NA DeadNotShot 2 D NA 0 NIMRO 0 0 base NA
NIPSS Male 1966 NA NA NA NA DeadNotShot 2 D NA 0 NIPSS 0 0 base NA
NIV01 Male 2001 2001 0 NA NA DeadNotShot 1 D Q 0 NIV01 0 0.59375 loc SAX97
NIV02 Male 2002 2002 0 NA NA Shot 3 D S 0 NIV02 0 0.53125 loc SAX97
NOB74 Male 1974 1974 0 NA NA DeadNotShot 1 D D 0 NOB74 0 0 loc BUL65
NOB75 Male 1975 1975 0 NA NA DeadNotShot 1 D D 0 NOB75 0 0 loc BUL65
NOB76 Female 1976 1989 13 9 1 DeadNotShot 1 D A NA NOB76 9 0 loc BUL65
NOB77 Female 1977 1977 0 0 0 DeadNotShot 1 D Q NA NOB77 0 0 loc BUL65
NOB78 Male 1978 1987 9 NA NA DeadNotShot 1 D Q 1 NOB78 1 0 loc BUL65
NOB79 Male 1979 1980 0 NA NA DeadNotShot 1 D N 0 NOB79 0 0 loc BUL65
NON80 Male 1980 1981 0 NA NA DeadNotShot 1 D N 0 NON80 0 0 loc NOB76
NON82 Male 1982 1983 0 NA NA DeadNotShot 1 D N 0 NON82 0 0.25 loc NOB76
NON83 Male 1983 1983 0 NA NA DeadNotShot 1 D Q 0 NON83 0 0.125 loc NOB76
NON84 Male 1984 1986 1 NA NA DeadNotShot 1 D N 0 NON84 0 0.125 loc NOB76
NON85 Male 1985 1986 0 NA NA DeadNotShot 1 D N 0 NON85 0 0 loc NOB76
NON86 Female 1986 1990 4 1 0 DeadNotShot 1 D A NA NON86 1 0.25 loc NOB76
NON87 Male 1987 1988 0 NA NA DeadNotShot 1 D N 0 NON87 0 0.5 loc NOB76
NON88 Female 1988 1988 0 0 0 DeadNotShot 1 D Q NA NON88 0 0 loc NOB76
NOS07 Female 2007 NA NA 0 0 DeadNotShot 2 U NA NA NOS07 0 0.078125 loc FRR03
NOT89 Female 1989 NA NA 0 0 DeadNotShot 2 D NA NA NOT89 0 0.5 loc NOTCH
NOTCH Female 1983 NA NA 2 0 DeadNotShot 2 D NA NA NOTCH 2 1 Imm NA
NRFTY Male 1965 NA NA NA NA DeadNotShot 2 D NA 0 NRFTY 0 0 base NA
NRSWI Male 1974 1986 11 NA NA DeadNotShot 1 D N 8 NRSWI 8 0.5 loc MOWSP
NTRYL Male 1965 1978 13 NA NA DeadNotShot 1 D Q 0 NTRYL 0 0 base NA
NUC78 Female 1978 1978 0 0 0 DeadNotShot 1 D Q NA NUC78 0 0 loc SCO74
NUC79 Male 1979 1985 6 NA NA Shot 3 D S 0 NUC79 0 0 loc SCO74
NUC81 Female 1981 1987 5 2 0 DeadNotShot 1 D Q NA NUC81 2 0 loc SCO74
NUC83 Male 1983 NA NA NA NA DeadNotShot 2 D NA 0 NUC83 0 0 loc SCO74
NUC85 Female 1985 1986 0 0 0 DeadNotShot 1 D Q NA NUC85 0 0 loc SCO74
NUT02 Female 2002 2003 1 0 0 Shot 3 D S NA NUT02 0 0.453125 loc TOS98
NWS23 Male NA NA NA NA NA DeadNotShot 2 D NA 0 NWS23 0 1 Imm NA
NYM98 Female 1998 2001 3 1 0 Shot 3 D S NA NYM98 1 0.75 loc APH95
OAT87 Female 1987 1993 5 1 0 DeadNotShot 1 D N NA OAT87 1 0.5 loc BAR83
OAT89 Male 1989 2000 10 NA NA DeadNotShot 1 D N 8 OAT89 8 0.5 loc BAR83
OAT90 Female 1990 1998 8 4 1 DeadNotShot 1 D C NA OAT90 4 0.5 loc BAR83
OAT92 Male 1992 1993 0 NA NA DeadNotShot 1 D N 0 OAT92 0 0.25 loc BAR83
OAT94 Female 1994 2005 10 7 0 DeadNotShot 1 D N NA OAT94 7 0.5625 loc BAR83
OAT95 Male 1995 1995 0 NA NA DeadNotShot 3 F B 0 OAT95 0 0.265625 loc BAR83
OCC84 Female 1984 1986 1 0 0 DeadNotShot 1 D Q NA OCC84 0 0.0625 loc CLC80
OCC85 Female 1985 1992 6 2 1 DeadNotShot 1 D N NA OCC85 2 0.0625 loc CLC80
OCC88 Female 1988 1991 3 0 0 Shot 3 D S NA OCC88 0 0.3125 loc CLC80
OCC89 Female 1989 2000 11 7 0 Shot 3 D S NA OCC89 7 0.0625 loc CLC80
OCC90 Male 1990 1994 4 NA NA Shot 3 D S 0 OCC90 0 0.375 loc CLC80
OCC92 Female 1992 NA NA 0 0 DeadNotShot 2 D NA NA OCC92 0 0.4375 loc CLC80
OCH83 Male 1983 1997 13 NA NA DeadNotShot 1 D N 16 OCH83 16 0.5 loc SAF80
OCH85 Female 1985 1993 7 3 1 DeadNotShot 1 D N NA OCH85 3 0.75 loc SAF80
OCH87 Female 1987 1993 5 2 1 DeadNotShot 1 D N NA OCH87 2 0.25 loc SAF80
OCH89 Male 1989 1989 0 NA NA DeadNotShot 1 D A 0 OCH89 0 0.25 loc SAF80
OCH90 Female 1990 2006 15 9 6 DeadNotShot 1 D N NA OCH90 9 0.625 loc SAF80
OCH92 Male 1992 2004 12 NA NA Shot 3 D S 16 OCH92 16 0.75 loc SAF80
OCH94 Female 1994 1994 0 0 0 DeadNotShot 1 D B NA OCH94 0 0.5 loc SAF80
OCH96 Female 1996 2009 12 5 4 DeadNotShot 1 D Q NA OCH96 5 0.375 loc SAF80
OCH98 Male 1998 2011 12 NA NA DeadNotShot 1 D Q 0 OCH98 0 0.75 loc SAF80
ODDSS Male 1968 NA NA NA NA DeadNotShot 2 D NA 0 ODDSS 0 0 base NA
ONY08 Female 2008 2008 0 0 0 DeadNotShot 1 D A NA ONY08 0 0.71875 loc RBY05
ONY09 Female 2009 2009 0 0 0 DeadNotShot 1 D Q NA ONY09 0 0.71875 loc RBY05
ONY10 Male 2010 2010 0 NA NA DeadNotShot 1 D E 0 ONY10 0 0.4453125 loc RBY05
ONY11 Male 2011 2013 2 NA NA Shot 3 D S 0 ONY11 0 0.8125 loc RBY05
ONY12 Male 2012 2014 2 NA NA Shot 3 D S 0 ONY12 0 0.8125 loc RBY05
ONY13 Female 2013 NA NA 0 0 Living 3 L NA NA ONY13 0 0.609375 loc RBY05
ONY14 Male 2014 NA NA NA NA Living 3 L NA 0 ONY14 0 0.609375 loc RBY05
ONY15 Female 2015 NA NA 0 0 Living 3 L NA NA ONY15 0 0.8125 loc RBY05
ONY16 Female 2016 NA NA 0 0 Living 3 L NA NA ONY16 0 0.6875 loc RBY05
OPA01 Female 2001 2002 0 0 0 DeadNotShot 1 D N NA OPA01 0 0.78125 loc STO96
OPA03 Female 2003 2008 4 1 0 DeadNotShot 1 D N NA OPA03 1 0.46875 loc STO96
OPA04 Female 2004 2005 0 0 0 DeadNotShot 1 D N NA OPA04 0 0.4375 loc STO96
OPA06 Female 2006 2007 0 0 0 DeadNotShot 1 D N NA OPA06 0 0.71875 loc STO96
OPA07 Female 2007 2017 9 2 0 DeadNotShot 1 D N NA OPA07 2 0.40625 loc STO96
OPA08 Female 2008 NA NA 4 0 Living 3 L NA NA OPA08 4 0.6875 loc STO96
OPA10 Female 2010 2010 0 0 0 DeadNotShot 1 D Q NA OPA10 0 0.71875 loc STO96
OPA11 Male 2011 2012 0 NA NA DeadNotShot 1 D N 0 OPA11 0 0.65625 loc STO96
OPA99 Female 1999 2004 5 1 0 Shot 3 D S NA OPA99 1 0.78125 loc STO96
OPE87 Female 1987 NA NA 5 3 DeadNotShot 2 D NA NA OPE87 5 0.0625 loc SKA82
OPE89 Male 1989 NA NA NA NA DeadNotShot 2 D NA 2 OPE89 2 0.1875 loc SKA82
OPE92 Male 1992 1993 0 NA NA DeadNotShot 1 D N 0 OPE92 0 0.0625 loc SKA82
ORA07 Female 2007 2008 0 0 0 DeadNotShot 1 D N NA ORA07 0 0.625 loc ANM02
ORA09 Female 2009 2011 1 0 0 DeadNotShot 1 D N NA ORA09 0 0.375 loc ANM02
ORA11 Male 2011 2011 0 NA NA DeadNotShot 1 D Q 0 ORA11 0 0.21875 loc ANM02
ORA12 Male 2012 2012 0 NA NA DeadNotShot 1 D N 0 ORA12 0 0.71875 loc ANM02
ORA13 Male 2013 2013 0 NA NA DeadNotShot 1 D D 0 ORA13 0 0.71875 loc ANM02
ORA14 Male 2014 NA NA NA NA Living 3 L NA 0 ORA14 0 0.625 loc ANM02
ORC95 Female 1995 2009 13 5 1 DeadNotShot 1 D N NA ORC95 5 0.375 loc CRO90
ORC97 Female 1997 2002 4 1 0 DeadNotShot 1 D N NA ORC97 1 0.75 loc CRO90
ORC98 Male 1998 2000 1 NA NA DeadNotShot 1 D N 0 ORC98 0 0.625 loc CRO90
ORC99 Male 1999 1999 0 NA NA DeadNotShot 3 F NA 0 ORC99 0 0.5625 loc CRO90
ORG01 Male 2001 2001 0 NA NA Shot 3 D S 0 ORG01 0 0.8125 loc CUM98
ORIGA Male 2005 2012 6 NA NA DeadNotShot 1 D Q 0 ORIGA 0 1 Imm NA
ORP91 Male 1991 1991 0 NA NA DeadNotShot 1 D E 0 ORP91 0 0.375 loc CLA87
ORP92 Female 1992 2000 7 3 1 DeadNotShot 1 D N NA ORP92 3 0.5 loc CLA87
ORPHA Male 1970 1980 10 NA NA Shot 3 D S 0 ORPHA 0 1 Imm NA
ORY07 Female 2007 NA NA 2 0 Living 3 L NA NA ORY07 2 0.46875 loc JAE02
ORY09 Male 2009 2009 0 NA NA DeadNotShot 1 D D 0 ORY09 0 0.375 loc JAE02
ORY10 Male 2010 NA NA NA NA Living 3 L NA 0 ORY10 0 0.46875 loc JAE02
ORY12 Male 2012 NA NA NA NA Living 3 L NA 0 ORY12 0 0.3125 loc JAE02
ORY14 Male 2014 NA NA NA NA Living 3 L NA 0 ORY14 0 0.21875 loc JAE02
ORY16 Female 2016 2017 0 0 0 DeadNotShot 1 D N NA ORY16 0 0.3515625 loc JAE02
OSCAR Male 1961 NA NA NA NA DeadNotShot 2 D NA 0 OSCAR 0 0 base NA
OSSIA Male 1960 1975 14 NA NA DeadNotShot 1 D N 0 OSSIA 0 0 base NA
OST81 Male 1981 1993 11 NA NA DeadNotShot 1 D N 0 OST81 0 0.5 loc COC76
OST83 Male 1983 NA NA NA NA DeadNotShot 2 D NA 0 OST83 0 0 loc COC76
OST85 Male 1985 NA NA NA NA DeadNotShot 2 D NA 0 OST85 0 0 loc COC76
OTA70 Male 1970 1974 4 NA NA Shot 3 D S 0 OTA70 0 0.5 loc OTAGG
OTA71 Female 1971 1973 1 0 0 DeadNotShot 1 D E NA OTA71 0 0.5 loc OTAGG
OTA72 Female 1972 1976 4 2 2 DeadNotShot 1 D Q NA OTA72 2 0.5 loc OTAGG
OTA74 Male 1974 NA NA NA NA DeadNotShot 2 D NA 0 OTA74 0 0.5 loc OTAGG
OTA75 Male 1975 1978 3 NA NA Shot 3 D S 0 OTA75 0 0.5 loc OTAGG
OTA76 Male 1976 1989 12 NA NA DeadNotShot 1 D N 15 OTA76 15 1 loc OTAGG
OTA77 Male 1977 1983 6 NA NA Shot 3 D S 0 OTA77 0 1 loc OTAGG
OTA78 Female 1978 1984 5 1 1 DeadNotShot 1 D N NA OTA78 1 0.5 loc OTAGG
OTA80 Female 1980 1996 16 9 3 DeadNotShot 1 D Q NA OTA80 9 1 loc OTAGG
OTA81 Male 1981 1983 1 NA NA DeadNotShot 1 D N 0 OTA81 0 0.5 loc OTAGG
OTA85 Female 1985 1986 0 0 0 DeadNotShot 1 D N NA OTA85 0 0.5 loc OTAGG
OTAGG Female 1966 1986 19 15 9 DeadNotShot 1 D N NA OTAGG 15 1 loc NA
OTC75 Male 1975 1979 4 NA NA Shot 3 D S 0 OTC75 0 0.25 loc OTA72
OTC76 Male 1976 1989 12 NA NA DeadNotShot 1 D N 7 OTC76 7 0.25 loc OTA72
OTT89 Female 1989 2001 12 4 0 Shot 3 D S NA OTT89 4 0 loc SCO83
OVA00 Female 2000 2002 2 0 0 Shot 3 D S NA OVA00 0 0.375 loc CAF93
OVA02 Male 2002 2002 0 NA NA Shot 3 D S 0 OVA02 0 0.5 loc CAF93
OVA97 Female 1997 2002 4 1 1 DeadNotShot 1 D N NA OVA97 1 0.1875 loc CAF93
OVA98 Male 1998 NA NA NA NA DeadNotShot 2 D NA 2 OVA98 2 0.5625 loc CAF93
OXA01 Female 2001 2001 0 0 0 DeadNotShot 1 D Q NA OXA01 0 0.46875 loc SRL91
